from,to,source
1280,1820-06-19,"Th OC-91"
965,1820-06-19,"Th OC-91"
1403,1820-06-20,"Th OC-91"
543,1820-06-20,"Th OC-91"
1639,1820-06-20,"Th OC-91"
544,1820-06-21,"Th OC-91"
225,1820-06-21,"Th OC-91"
1208,1820-06-22,"Th OC-91"
1470,1820-06-22,"Th OC-91"
1055,1820-06-22,"Th OC-91"
1108,1820-06-23,"Th OC-91"
1559,1820-06-23,"Th OC-91"
284,1820-06-23,"Th OC-91"
1266,1820-06-24,"Th OC-91"
1856,1820-06-24,"Th OC-91"
1550,1820-06-25,"Th OC-91"
225,1820-06-25,"Th OC-91"
1878,1820-06-26,"Th OC-91"
1208,1820-06-26,"Th OC-91"
1559,1820-06-27,"Th OC-91"
29,1820-06-27,"Th OC-91"
1055,1820-06-28,"Th OC-91"
730,1820-06-28,"Th OC-91"
225,1820-06-29,"Th OC-91"
36,1820-06-29,"Th OC-91"
640,1820-06-29,"Th OC-91"
740,1820-07-01,"Th OC-91"
1144,1820-07-01,"Th OC-91"
61,1820-07-01,"Th OC-91"
1213,1820-07-02,"Th OC-91"
990,1820-07-02,"Th OC-91"
1803,1820-07-03,"Th OC-91"
1741,1820-07-03,"Th OC-91"
16,1820-07-03,"Th OC-91"
543,1820-07-04,"Th OC-91"
1713,1820-07-04,"Th OC-91"
36,1820-07-04,"Th OC-91"
822,1820-07-05,"Th OC-91"
284,1820-07-05,"Th OC-91"
343,1820-07-05,"Th OC-91"
1649,1820-07-06,"Th OC-91"
1280,1820-07-06,"Th OC-91"
36,1820-07-06,"Th OC-91"
544,1820-07-07,"Th OC-91"
1470,1820-07-07,"Th OC-91"
1803,1820-07-08,"Th OC-91"
936,1820-07-08,"Th OC-91"
36,1820-07-08,"Th OC-91"
1596,1820-07-09,"Th OC-91"
219,1820-07-09,"Th OC-91"
1559,1820-07-10,"Th OC-91"
1144,1820-07-10,"Th OC-91"
16,1820-07-10,"Th OC-91"
1086,1820-07-11,"Th OC-91"
51,1820-07-11,"Th OC-91"
1550,1820-07-12,"Th OC-91"
730,1820-07-12,"Th OC-91"
1266,1820-07-13,"Th OC-91"
36,1820-07-13,"Th OC-91"
640,1820-07-13,"Th OC-91"
1108,1820-07-14,"Th OC-91"
219,1820-07-14,"TH OC-91"
36,1820-07-15,"Th OC-91"
965,1820-07-15,"Th OC-91"
153,1820-07-15,"Th OC-91"
1803,1820-07-16,"Th OC-91"
1741,1820-07-16,"Th OC-91"
228,1820-07-16,"Th OC-91"
1208,1820-07-17,"Th OC-91"
1470,1820-07-17,"Th OC-91"
1713,1820-07-18,"TH OC-114"
1310,1820-07-18,"TH OC-114"
36,1820-07-18,"TH OC-114"
1280,1820-07-20,"Th OC-91"
343,1820-07-20,"Th OC-91"
36,1820-07-20,"Th OC-91"
543,1820-07-21,"Th OC-91"
219,1820-07-21,"Th OC-91"
822,1820-07-22,"Th OC-91"
36,1820-07-22,"Th OC-91"
640,1820-07-22,"Th OC-91"
1797,1820-07-24,"Th OC-91"
1055,1820-07-24,"Th OC-91"
36,1820-07-24,"Th OC-91"
