from,to,source
1873,1831-10-18,"TH OC-102"
1572,1831-10-18,"TH OC-102"
762,1831-10-19,"TH OC-102"
480,1831-10-19,"TH OC-102"
1873,1831-10-20,"TH OC-102"
1280,1831-10-20,"TH OC-102"
1108,1831-10-21,"TH OC-102"
811,1831-10-21,"TH OC-102"
1844,1831-10-22,"TH OC-102"
1260,1831-10-22,"TH OC-102"
1664,1831-10-23,"TH OC-102"
767,1831-10-23,"TH OC-102"
1873,1831-10-24,"TH OC-102"
897,1831-10-24,"TH OC-102"
1527,1831-10-25,"TH OC-102"
1572,1831-10-25,"TH OC-102"
811,1831-10-25,"TH OC-102"
1851,1831-10-26,"TH OC-102"
1664,1831-10-26,"TH OC-102"
1055,1831-10-26,"TH OC-102"
1064,1831-10-27,"TH OC-102"
897,1831-10-27,"TH OC-102"
16,1831-10-27,"TH OC-102"
1572,1831-10-28,"TH OC-102"
1383,1831-10-28,"TH OC-102"
1851,1831-10-30,"TH OC-102"
1572,1831-10-30,"TH OC-102"
767,1831-10-30,"TH OC-102"
1175,1831-10-31,"TH OC-102"
1873,1831-11-01,"TH OC-104"
435,1831-11-01,"TH OC-104"
1175,1831-11-02,"TH OC-104"
1055,1831-11-02,"TH OC-104"
855,1831-11-03,"TH OC-104"
767,1831-11-03,"TH OC-104"
1175,1831-11-04,"TH OC-104"
16,1831-11-04,"TH OC-104"
435,1831-11-05,"TH OC-104"
1175,1831-11-05,"TH OC-104"
1873,1831-11-06,"TH OC-104"
1527,1831-11-06,"TH OC-104"
1844,1831-11-06,"TH OC-104"
1280,1831-11-07,"TH OC-104"
1175,1831-11-07,"TH OC-104"
582,1831-11-08,"TH OC-104"
1175,1831-11-08,"TH OC-104"
1260,1831-11-09,"TH OC-104"
811,1831-11-09,"TH OC-104"
435,1831-11-10,"TH OC-104"
1175,1831-11-10,"TH OC-104"
855,1831-11-11,"TH OC-104"
1175,1831-11-11,"TH OC-104"
1175,1831-11-12,"TH OC-104"
16,1831-11-12,"TH OC-104"
1383,1831-11-13,"TH OC-104"
651,1831-11-13,"TH OC-104"
1470,1831-11-14,"TH OC-104"
1175,1831-11-14,"TH OC-104"
855,1831-11-15,"TH OC-104"
1175,1831-11-15,"TH OC-104"
1115,1831-11-16,"TH OC-104"
1175,1831-11-16,"TH OC-104"
1873,1831-11-17,"TH OC-104"
1470,1831-11-17,"TH OC-104"
1115,1831-11-18,"TH OC-104"
1175,1831-11-18,"TH OC-104"
1175,1831-11-19,"TH OC-104"
964,1831-11-19,"TH OC-104"
1873,1831-11-20,"TH OC-104"
1145,1831-11-20,"TH OC-104"
435,1831-11-20,"TH OC-104"
1175,1831-11-21,"TH OC-104"
1055,1831-11-21,"TH OC-104"
1115,1831-11-22,"TH OC-104"
1175,1831-11-22,"TH OC-104"
1527,1831-11-23,"TH OC-104"
1145,1831-11-23,"TH OC-104"
480,1831-11-23,"TH OC-104"
1115,1831-11-24,"TH OC-104"
1175,1831-11-24,"TH OC-104"
1280,1831-11-25,"TH OC-104"
1055,1831-11-25,"TH OC-104"
767,1831-11-25,"TH OC-104"
1527,1831-11-26,"TH OC-104"
1175,1831-11-26,"TH OC-104"
699,1831-11-26,"TH OC-104"
767,1831-11-27,"TH OC-104"
811,1831-11-27,"TH OC-104"
1851,1831-11-28,"TH OC-104"
582,1831-11-28,"TH OC-104"
435,1831-11-28,"TH OC-104"
1115,1831-11-29,"TH OC-104"
1175,1831-11-29,"TH OC-104"
1856,1831-11-30,"TH OC-104"
1260,1831-11-30,"TH OC-104"
582,1831-12-01,"TH OC-103"
1175,1831-12-01,"TH OC-103"
1873,1831-12-02,"TH OC-103"
699,1831-12-02,"TH OC-103"
1856,1831-12-03,"TH OC-103"
762,1831-12-03,"TH OC-103"
1856,1831-12-04,"TH OC-103"
1175,1831-12-04,"TH OC-103"
1851,1831-12-05,"TH OC-103"
480,1831-12-05,"TH OC-103"
1280,1831-12-06,"TH OC-103"
1145,1831-12-06,"TH OC-103"
964,1831-12-06,"TH OC-103"
1873,1831-12-07,"TH OC-103"
897,1831-12-07,"TH OC-103"
1873,1831-12-08,"TH OC-103"
1851,1831-12-08,"TH OC-103"
1873,1832-01-14,"TH OC-105"
435,1832-01-14,"TH OC-105"
480,1832-01-15,"TH OC-105"
811,1832-01-15,"TH OC-105"
1873,1832-01-16,"TH OC-105"
1280,1832-01-16,"TH OC-105"
1236,1832-01-17,"TH OC-105"
435,1832-01-17,"TH OC-105"
651,1832-01-17,"TH OC-105"
1856,1832-01-18,"TH OC-105"
480,1832-01-18,"TH OC-105"
550,1832-01-19,"TH OC-105"
1175,1832-01-19,"TH OC-105"
1873,1832-01-20,"TH OC-105"
1280,1832-01-20,"TH OC-105"
435,1832-01-21,"TH OC-105"
1175,1832-01-21,"TH OC-105"
1873,1832-01-22,"TH OC-105"
1161,1832-01-22,"TH OC-105"
550,1832-01-23,"TH OC-105"
1175,1832-01-23,"TH OC-105"
435,1832-01-24,"TH OC-105"
767,1832-01-24,"TH OC-105"
1115,1832-01-25,"TH OC-105"
1175,1832-01-25,"TH OC-105"
1873,1832-01-26,"TH OC-105"
1161,1832-01-26,"TH OC-105"
1527,1832-01-27,"TH OC-105"
1844,1832-01-27,"TH OC-105"
1175,1832-01-27,"TH OC-105"
435,1832-01-28,"TH OC-105"
480,1832-01-28,"TH OC-105"
1115,1832-01-29,"TH OC-105"
1175,1832-01-29,"TH OC-105"
1244,1832-01-30,"M"
1055,1832-01-30,"M"
811,1832-01-30,"M"
1244,1832-01-31,"TH OC-105"
1055,1832-01-31,"TH OC-105"
811,1832-01-31,"TH OC-105"
1856,1832-02-01,"TH OC-106"
1175,1832-02-01,"TH OC-106"
1873,1832-02-02,"TH OC-106"
1161,1832-02-02,"TH OC-106"
1873,1832-02-03,"TH OC-106"
1244,1832-02-03,"TH OC-106"
1873,1832-02-05,"TH OC-106"
767,1832-02-05,"TH OC-106"
1722,1832-02-06,"TH OC-106"
1280,1832-02-06,"TH OC-106"
1722,1832-02-07,"TH OC-106"
1722,1832-02-08,"TH OC-106"
1873,1832-02-09,"TH OC-106"
1844,1832-02-09,"TH OC-106"
1722,1832-02-10,"TH OC-106"
1722,1832-02-11,"TH OC-106"
1527,1832-02-11,"TH OC-106"
1873,1832-02-12,"TH OC-106"
964,1832-02-12,"TH OC-106"
1722,1832-02-13,"TH OC-106"
550,1832-02-13,"TH OC-106"
1115,1832-02-14,"TH OC-106"
767,1832-02-14,"TH OC-106"
1722,1832-02-15,"TH OC-106"
1115,1832-02-15,"TH OC-106"
1177,1832-02-16,"TH OC-106"
1844,1832-02-16,"TH OC-106"
1722,1832-02-17,"TH OC-106"
1403,1832-02-17,"TH OC-106"
1873,1832-02-18,"TH OC-106"
1244,1832-02-18,"TH OC-106"
1722,1832-02-19,"TH OC-106"
1115,1832-02-19,"TH OC-106"
1722,1832-02-20,"TH OC-106"
1527,1832-02-20,"TH OC-106"
1055,1832-02-20,"TH OC-106"
1878,1832-02-21,"M"
1403,1832-02-22,"TH OC-106"
480,1832-02-22,"TH OC-106"
1722,1832-02-23,"TH OC-106"
964,1832-02-23,"TH OC-106"
1175,1832-02-24,"TH OC-106"
897,1832-02-24,"TH OC-106"
1722,1832-02-25,"TH OC-106"
762,1832-02-25,"TH OC-106"
1722,1832-02-26,"TH OC-106"
1175,1832-02-26,"TH OC-106"
550,1832-02-27,"TH OC-106"
1244,1832-02-27,"TH OC-106"
1175,1832-02-27,"TH OC-106"
1722,1832-02-28,"TH OC-106"
480,1832-02-28,"TH OC-106"
1851,1832-02-29,"TH OC-106"
762,1832-02-29,"TH OC-106"
1244,1832-03-01,"TH OC-107"
1128,1832-03-01,"TH OC-107"
1844,1832-03-01,"TH OC-107"
550,1832-03-02,"TH OC-107"
1128,1832-03-02,"TH OC-107"
435,1832-03-02,"TH OC-107"
1722,1832-03-03,"TH OC-107"
1128,1832-03-03,"TH OC-107"
1722,1832-03-04,"TH OC-107"
1128,1832-03-04,"TH OC-107"
1244,1832-03-05,"TH OC-107"
1128,1832-03-05,"TH OC-107"
1175,1832-03-05,"TH OC-107"
1873,1832-03-06,"TH OC-107"
1527,1832-03-06,"TH OC-107"
1128,1832-03-06,"TH OC-107"
1128,1832-03-07,"TH OC-107"
1844,1832-03-07,"TH OC-107"
964,1832-03-07,"TH OC-107"
1280,1832-03-08,"TH OC-107"
480,1832-03-08,"TH OC-107"
1856,1832-03-09,"TH OC-107"
550,1832-03-09,"TH OC-107"
1128,1832-03-09,"TH OC-107"
1851,1832-03-10,"TH OC-107"
1128,1832-03-10,"TH OC-107"
1055,1832-03-10,"TH OC-107"
1856,1832-03-11,"TH OC-107"
1527,1832-03-11,"TH OC-107"
550,1832-03-11,"TH OC-107"
1128,1832-03-11,"TH OC-107"
1128,1832-03-12,"TH OC-107"
897,1832-03-12,"TH OC-107"
16,1832-03-12,"TH OC-107"
1128,1832-03-13,"TH OC-107"
762,1832-03-13,"TH OC-107"
1081,1832-03-22,"M, Globe"
284,1832-03-22,"M, Globe"
976,1832-03-22,"M, Globe"
1851,1832-07-12,"M"
767,1832-07-12,"M"
1856,1832-09-24,"M, Fig"
1089,1832-09-24,"M, Fig"
1527,1832-09-25,"M, Fig"
480,1832-09-25,"M, Fig"
1403,1832-09-26,"M, Fig"
964,1832-09-26,"M, Fig"
1856,1832-09-27,"M, Fig"
435,1832-09-27,"M, Fig"
1089,1832-09-28,"M, Fig"
435,1832-09-28,"M, Fig"
1403,1832-09-29,"M, Fig"
767,1832-09-29,"M, Fig"
1856,1832-09-30,"M, Fig"
964,1832-09-30,"M, Fig"
435,1832-10-01,"M"
480,1832-10-01,"M"
1081,1832-10-02,"M"
767,1832-10-02,"M"
1527,1832-10-03,"M"
762,1832-10-03,"M"
1403,1832-10-04,"M"
1081,1832-10-04,"M"
1055,1832-10-04,"M"
1089,1832-10-05,"M"
582,1832-10-05,"M"
550,1832-10-06,"M"
1280,1832-10-06,"M"
582,1832-10-06,"M"
1403,1832-10-07,"M"
1081,1832-10-07,"M"
1055,1832-10-07,"M"
550,1832-10-08,"M"
1470,1832-10-08,"M"
964,1832-10-08,"M"
1856,1832-10-09,"M"
435,1832-10-09,"M"
1527,1832-10-10,"M"
480,1832-10-10,"M"
550,1832-10-11,"M"
1280,1832-10-11,"M"
582,1832-10-11,"M"
1108,1832-10-12,"M"
1851,1832-10-12,"M"
1055,1832-10-12,"M"
225,1832-10-13,"M"
968,1832-10-13,"M"
1856,1832-10-14,"M"
1280,1832-10-14,"M"
1851,1832-10-15,"M"
762,1832-10-15,"M"
550,1832-10-16,"M"
1244,1832-10-16,"M"
968,1832-10-16,"M"
1195,1832-10-17,"M"
1403,1832-10-18,"M"
1280,1832-10-18,"M"
1244,1832-10-18,"M"
1108,1832-10-19,"M"
435,1832-10-19,"M"
1195,1832-10-19,"M"
1081,1832-10-20,"M"
1195,1832-10-20,"M"
480,1832-10-21,"M"
968,1832-10-21,"M"
1244,1832-10-22,"M"
582,1832-10-22,"M"
1195,1832-10-22,"M"
1527,1832-10-23,"M"
936,1832-10-23,"M"
1244,1832-10-24,"M"
964,1832-10-24,"M"
1195,1832-10-25,"M"
936,1832-10-25,"M"
968,1832-10-25,"M"
1161,1832-10-26,"M"
1195,1832-10-26,"M"
897,1832-10-26,"M"
1403,1832-10-27,"M"
1280,1832-10-27,"M"
225,1832-10-27,"M"
1161,1832-10-28,"M"
1856,1832-10-28,"M"
582,1832-10-29,"M"
435,1832-10-29,"M"
1195,1832-10-29,"M"
1108,1832-10-30,"M"
936,1832-10-30,"M"
968,1832-10-30,"M"
1527,1832-10-31,"M"
1089,1832-10-31,"M"
1851,1832-11-01,"M"
1527,1832-11-01,"M"
1195,1832-11-01,"M"
1089,1832-11-02,"M"
225,1832-11-02,"M"
1055,1832-11-02,"M"
1195,1832-11-03,"M"
762,1832-11-03,"M"
1195,1832-11-04,"M"
936,1832-11-04,"M"
968,1832-11-04,"M"
1349,1832-11-05,"M"
1161,1832-11-06,"M"
1856,1832-11-06,"M"
1349,1832-11-07,"M"
582,1832-11-07,"M"
1195,1832-11-07,"M"
1527,1832-11-08,"M"
435,1832-11-08,"M"
964,1832-11-08,"M"
1349,1832-11-09,"M"
1089,1832-11-09,"M"
550,1832-11-10,"M"
360,1832-11-10,"M"
1195,1832-11-10,"M"
1055,1832-11-11,"M"
968,1832-11-11,"M"
16,1832-11-11,"M"
1161,1832-11-12,"M"
1244,1832-11-12,"M"
1403,1832-11-13,"M"
360,1832-11-13,"M"
1195,1832-11-13,"M"
435,1832-11-14,"M"
1195,1832-11-14,"M"
964,1832-11-14,"M"
1244,1832-11-16,"M"
480,1832-11-16,"M"
1403,1832-11-17,"M"
582,1832-11-17,"M"
360,1832-11-17,"M"
360,1832-11-18,"M"
1195,1832-11-18,"M"
936,1832-11-18,"M"
435,1832-11-19,"M"
964,1832-11-19,"M"
1280,1832-11-20,"M"
360,1832-11-20,"M"
16,1832-11-20,"M"
1403,1832-11-21,"M"
1856,1832-11-21,"M"
1195,1832-11-21,"M"
582,1832-11-22,"M"
1195,1832-11-22,"M"
16,1832-11-22,"M"
1108,1832-11-23,"M"
1527,1832-11-23,"M"
1089,1832-11-23,"M"
1851,1832-11-24,"M"
1450,1832-11-24,"M"
1195,1832-11-24,"M"
1450,1832-11-25,"M"
1195,1832-11-25,"M"
1055,1832-11-25,"M"
1450,1832-11-26,"M"
582,1832-11-26,"M"
1161,1832-11-27,"M"
1195,1832-11-27,"M"
1851,1832-11-28,"M"
1450,1832-11-28,"M"
225,1832-11-28,"M"
1244,1832-11-29,"M"
435,1832-11-29,"M"
964,1832-11-29,"M"
517,1832-11-30,"M"
897,1832-11-30,"M"
1664,1832-12-02,"M"
517,1832-12-02,"M"
1527,1832-12-03,"M"
1450,1832-12-03,"M"
16,1832-12-03,"M"
1664,1832-12-04,"M"
582,1832-12-04,"M"
1195,1832-12-04,"M"
1161,1832-12-05,"M"
1450,1832-12-05,"M"
1403,1832-12-06,"M"
1055,1832-12-06,"M"
968,1832-12-06,"M"
517,1832-12-10,"M"
435,1832-12-10,"M"
1450,1832-12-11,"M"
1383,1832-12-11,"M"
1081,1832-12-13,"M"
360,1832-12-13,"M"
897,1832-12-13,"M"
1444,1832-12-15,"M"
1383,1832-12-16,"M"
1444,1832-12-17,"M"
1383,1832-12-18,"M"
1055,1832-12-18,"M"
1089,1832-12-19,"M"
517,1832-12-19,"M"
1527,1832-12-20,"M"
582,1832-12-20,"M"
964,1832-12-20,"M"
1108,1832-12-21,"M"
225,1832-12-21,"M"
964,1832-12-21,"M"
1444,1832-12-22,"M"
1383,1832-12-23,"M"
1055,1832-12-23,"M"
1444,1832-12-24,"M"
1444,1832-12-25,"M"
1527,1832-12-26,"M"
517,1832-12-26,"M"
1444,1832-12-27,"M"
1161,1832-12-28,"M"
480,1832-12-28,"M"
1444,1832-12-29,"M"
1383,1832-12-30,"M"
1280,1832-12-30,"M"
1444,1832-12-31,"M"
1527,1833-01-01,"M"
550,1833-01-01,"M"
1055,1833-01-01,"M"
897,1833-01-01,"M"
1089,1833-01-02,"M"
517,1833-01-02,"M"
1444,1833-01-03,"M"
1403,1833-01-04,"M"
968,1833-01-04,"M"
1444,1833-01-05,"M"
1527,1833-01-06,"M"
1664,1833-01-06,"M"
1108,1833-01-07,"M"
811,1833-01-07,"M"
1444,1833-01-08,"M"
1851,1833-01-09,"M"
811,1833-01-09,"M"
1444,1833-01-10,"M"
1444,1833-01-11,"M"
1383,1833-01-12,"M"
435,1833-01-12,"M"
1403,1833-01-13,"M"
1161,1833-01-13,"M"
1195,1833-01-13,"M"
1444,1833-01-15,"M"
1237,1833-01-16,"M"
964,1833-01-16,"M"
1444,1833-01-17,"M"
1237,1833-01-18,"M"
1089,1833-01-18,"M"
1195,1833-01-18,"M"
1444,1833-01-19,"C"
1237,1833-01-20,"C"
1444,1833-01-21,"C"
1237,1833-01-22,"C"
936,1833-01-23,"C"
1444,1833-01-24,"M"
1676,1833-01-25,"M"
1195,1833-01-25,"M"
964,1833-01-25,"M"
1444,1833-01-26,"M"
1403,1833-01-27,"M"
1676,1833-01-27,"M"
1089,1833-01-27,"M"
1444,1833-01-29,"M"
1444,1833-01-30,"M"
1676,1833-01-31,"M"
1195,1833-01-31,"M"
964,1833-01-31,"M"
964,1833-02-01,"M"
811,1833-02-01,"M"
1444,1833-02-02,"M"
1856,1833-02-03,"M"
936,1833-02-03,"M"
897,1833-02-03,"M"
1444,1833-02-04,"M"
1444,1833-02-05,"M"
1403,1833-02-06,"M"
1676,1833-02-06,"M"
1280,1833-02-06,"M"
1444,1833-02-07,"M"
1195,1833-02-08,"M"
480,1833-02-08,"M"
1444,1833-02-09,"M"
1444,1833-02-10,"M"
1444,1833-02-11,"M"
480,1833-02-13,"M"
964,1833-02-13,"M"
1444,1833-02-14,"M"
1128,1833-02-15,"M"
811,1833-02-15,"M"
1444,1833-02-16,"M"
1403,1833-02-17,"M"
1108,1833-02-17,"M"
936,1833-02-17,"M"
1444,1833-02-18,"M"
1444,1833-02-19,"M"
1233,1833-02-20,"M"
1128,1833-02-20,"M"
1055,1833-02-20,"M"
1444,1833-02-21,"M"
1444,1833-02-23,"M"
1233,1833-02-24,"M"
480,1833-02-24,"M"
1444,1833-02-25,"M"
1233,1833-02-26,"M"
480,1833-02-26,"M"
1676,1833-02-27,"M"
1128,1833-02-27,"M"
811,1833-02-27,"M"
1444,1833-02-28,"M"
1444,1833-03-01,"M"
1444,1833-03-02,"M"
1444,1833-03-03,"M"
1680,1833-03-04,"M"
1527,1833-03-04,"M"
1055,1833-03-04,"M"
1128,1833-03-05,"M"
1115,1833-03-05,"M"
964,1833-03-05,"M"
1108,1833-03-06,"M"
1680,1833-03-06,"M"
1128,1833-03-06,"M"
1444,1833-03-07,"M"
1115,1833-03-08,"M"
1055,1833-03-08,"M"
1403,1833-03-09,"M"
1680,1833-03-09,"M"
1676,1833-03-09,"M"
1444,1833-03-10,"M"
1128,1833-03-10,"M"
1444,1833-03-11,"M"
1680,1833-03-12,"M"
1470,1833-03-12,"M"
1280,1833-03-12,"M"
1444,1833-03-13,"M"
1676,1833-03-14,"Const., Fig."
1444,1833-03-14,"Const., Fig."
1108,1833-03-15,"M"
964,1833-03-15,"M"
16,1833-03-15,"M"
1444,1833-03-16,"M"
1128,1833-03-16,"M"
1444,1833-03-17,"M"
16,1833-03-17,"M"
1795,1833-03-18,"M"
1527,1833-03-18,"M"
1676,1833-03-18,"M"
1444,1833-03-19,"M"
1676,1833-03-20,"M"
480,1833-03-20,"M"
1444,1833-03-21,"M"
1856,1833-03-22,"M"
1680,1833-03-22,"M"
1676,1833-03-22,"M"
1821,1833-03-23,"M"
1444,1833-03-23,"M"
1161,1833-03-24,"M"
1444,1833-03-24,"M"
1403,1833-03-26,"M"
1108,1833-03-26,"M"
1680,1833-03-26,"M"
1821,1833-03-27,"M"
811,1833-03-27,"M"
1821,1833-03-28,"M"
1444,1833-03-28,"M"
1444,1833-03-29,"M"
435,1833-03-29,"M"
1844,1833-03-30,"M"
767,1833-03-30,"M"
1444,1833-03-31,"M"
1844,1833-03-31,"M"
1851,1833-04-01,"M"
811,1833-04-01,"M"
1444,1833-04-02,"M"
1844,1833-04-02,"M"
1444,1833-04-03,"M"
1422,1833-04-03,"M"
1444,1833-04-04,"M"
1422,1833-04-04,"M"
1444,1833-04-07,"M"
811,1833-04-07,"M"
1680,1833-04-09,"M"
1821,1833-04-09,"M"
360,1833-04-09,"M"
1444,1833-04-10,"M"
1422,1833-04-10,"M"
1444,1833-04-11,"M"
1422,1833-04-11,"M"
435,1833-04-12,"M"
480,1833-04-12,"M"
1444,1833-04-13,"M"
1844,1833-04-13,"M"
1844,1833-04-14,"M"
767,1833-04-14,"M"
1403,1833-04-15,"M"
1680,1833-04-15,"M"
1844,1833-04-15,"M"
1444,1833-04-16,"M"
1115,1833-04-16,"M"
1444,1833-04-17,"M"
1422,1833-04-17,"M"
1444,1833-04-18,"M"
1115,1833-04-18,"M"
851,1833-04-19,"M"
1128,1833-04-19,"M"
1310,1833-04-19,"M"
1680,1833-04-20,"M"
435,1833-04-20,"M"
360,1833-04-20,"M"
1161,1833-04-21,"M"
1444,1833-04-21,"M"
851,1833-04-23,"M"
1444,1833-04-23,"M"
1680,1833-04-24,"M"
1821,1833-04-24,"M"
968,1833-04-24,"M"
851,1833-04-25,"M"
1444,1833-04-25,"M"
1422,1833-04-26,"M"
480,1833-04-26,"M"
1444,1833-04-27,"M"
1403,1833-04-28,"M"
1680,1833-04-28,"M"
1310,1833-04-28,"M"
1444,1833-04-29,"M"
1422,1833-04-29,"M"
1081,1833-04-30,"M"
1680,1833-04-30,"M"
1821,1833-04-30,"M"
1444,1833-05-01,"M"
1422,1833-05-01,"M"
1444,1833-05-02,"M"
811,1833-05-02,"M"
1851,1833-05-03,"M"
964,1833-05-03,"M"
1403,1833-05-04,"M"
1680,1833-05-04,"M"
360,1833-05-04,"M"
851,1833-05-05,"M"
1444,1833-05-05,"M"
1444,1833-05-06,"M"
1844,1833-05-06,"M"
851,1833-05-07,"M"
767,1833-05-07,"M"
1851,1833-05-08,"M"
851,1833-05-08,"M"
1115,1833-05-08,"M"
1444,1833-05-09,"M"
1444,1833-05-10,"M"
1115,1833-05-11,"M"
964,1833-05-11,"M"
1444,1833-05-12,"M"
762,1833-05-12,"M"
1444,1833-05-13,"M"
1422,1833-05-13,"M"
1161,1833-05-14,"M"
851,1833-05-14,"M"
1080,1833-05-16,"M"
851,1833-05-17,"M"
1115,1833-05-17,"M"
1080,1833-05-18,"M"
1444,1833-05-19,"M"
1115,1833-05-19,"M"
1080,1833-05-20,"M"
1080,1833-05-21,"M"
1080,1833-05-23,"M"
851,1833-05-24,"M"
1444,1833-05-24,"M"
1080,1833-05-25,"M"
582,1833-05-25,"M"
1422,1833-05-26,"M"
1115,1833-05-26,"M"
762,1833-05-26,"M"
1080,1833-05-27,"M"
582,1833-05-27,"M"
1080,1833-05-28,"M"
1236,1833-05-28,"M"
1444,1833-05-29,"M"
1080,1833-05-31,"M"
435,1833-05-31,"M"
1080,1833-06-01,"M"
1821,1833-06-01,"M"
851,1833-06-02,"M"
811,1833-06-02,"M"
1821,1833-06-03,"M"
811,1833-06-03,"M"
851,1833-06-04,"M"
480,1833-06-04,"M"
1080,1833-06-05,"M"
1115,1833-06-05,"M"
1080,1833-06-06,"M"
851,1833-06-06,"M"
1444,1833-06-07,"M"
1080,1833-06-08,"M"
851,1833-06-08,"M"
1444,1833-06-09,"M"
1128,1833-06-09,"M"
1115,1833-06-10,"M"
811,1833-06-10,"M"
1080,1833-06-11,"M"
1115,1833-06-11,"M"
1444,1833-06-12,"M"
1080,1833-06-13,"M"
851,1833-06-13,"M"
1080,1833-06-14,"M"
1128,1833-06-14,"M"
393,1833-06-15,"M"
1444,1833-06-16,"M"
1128,1833-06-17,"M"
1844,1833-06-17,"M"
393,1833-06-17,"M"
1161,1833-06-18,"M"
1080,1833-06-18,"M"
851,1833-06-19,"M"
811,1833-06-19,"M"
1080,1833-06-20,"M"
393,1833-06-20,"M"
1444,1833-06-21,"M"
435,1833-06-21,"M"
851,1833-06-22,"M"
480,1833-06-22,"M"
1080,1833-06-23,"M"
393,1833-06-23,"M"
1444,1833-06-24,"M"
1080,1833-06-25,"M"
393,1833-06-25,"M"
851,1833-06-26,"M"
480,1833-06-26,"M"
1444,1833-06-27,"M"
1115,1833-06-27,"M"
1161,1833-06-28,"M"
1080,1833-06-28,"M"
1527,1833-06-29,"M"
811,1833-06-29,"M"
1161,1833-06-30,"M"
1080,1833-06-30,"M"
1444,1833-07-01,"M"
1080,1833-07-02,"M"
851,1833-07-02,"M"
851,1833-07-03,"M"
1444,1833-07-03,"M"
1080,1833-07-04,"M"
1128,1833-07-04,"M"
225,1833-07-04,"M"
543,1833-07-05,"M"
1444,1833-07-05,"M"
1444,1833-07-06,"M"
543,1833-07-07,"M"
1444,1833-07-07,"M"
1080,1833-07-08,"M"
811,1833-07-08,"M"
1080,1833-07-09,"M"
851,1833-07-09,"M"
1713,1833-07-09,"M"
1115,1833-07-10,"M"
811,1833-07-10,"M"
543,1833-07-11,"M"
1444,1833-07-11,"M"
1161,1833-07-12,"M"
1080,1833-07-12,"M"
1080,1833-07-14,"M"
543,1833-07-14,"M"
1713,1833-07-14,"M"
1444,1833-07-15,"M"
393,1833-07-15,"M"
1080,1833-07-16,"M"
393,1833-07-16,"M"
1080,1833-07-17,"M"
1236,1833-07-17,"M"
1115,1833-07-17,"M"
964,1833-07-18,"M"
393,1833-07-18,"M"
1469,1833-07-20,"M"
1080,1833-07-21,"M"
1844,1833-07-21,"M"
393,1833-07-21,"M"
1469,1833-07-22,"M"
1469,1833-07-23,"M"
543,1833-07-24,"M"
1444,1833-07-24,"M"
1469,1833-07-25,"M"
1444,1833-07-26,"M"
393,1833-07-26,"M"
1469,1833-07-27,"M"
1469,1833-07-29,"Figaro"
1469,1833-07-30,"M"
1444,1833-07-31,"M"
543,1833-08-01,"M"
1444,1833-08-01,"M"
1161,1833-08-02,"M"
851,1833-08-02,"M"
1844,1833-08-02,"M"
1444,1833-08-03,"M"
1115,1833-08-03,"M"
543,1833-08-04,"M"
1444,1833-08-04,"M"
1527,1833-08-05,"M"
811,1833-08-05,"M"
1469,1833-08-06,"M"
1844,1833-08-07,"M"
1469,1833-08-07,"M"
1856,1833-08-08,"M"
1527,1833-08-08,"M"
1115,1833-08-08,"M"
1444,1833-08-09,"M"
393,1833-08-09,"M"
1527,1833-08-10,"M"
543,1833-08-10,"M"
1844,1833-08-10,"M"
1444,1833-08-11,"M"
393,1833-08-11,"M"
543,1833-08-12,"M"
1844,1833-08-12,"M"
393,1833-08-12,"M"
851,1833-08-13,"M"
1444,1833-08-13,"M"
1444,1833-08-14,"M"
393,1833-08-14,"M"
1844,1833-08-15,"M"
1469,1833-08-15,"M"
543,1833-08-16,"M"
1444,1833-08-16,"M"
1469,1833-08-17,"M"
1844,1833-08-18,"M"
1469,1833-08-18,"M"
851,1833-08-19,"M"
1444,1833-08-19,"M"
1444,1833-08-20,"M"
1236,1833-08-20,"M"
543,1833-08-21,"M"
1444,1833-08-21,"M"
1236,1833-08-22,"M"
1469,1833-08-22,"M"
1115,1833-08-23,"M"
1469,1833-08-23,"M"
851,1833-08-24,"M"
1444,1833-08-24,"M"
1236,1833-08-25,"M"
811,1833-08-25,"M"
1444,1833-08-26,"M"
393,1833-08-26,"M"
1469,1833-08-27,"M"
393,1833-08-27,"M"
543,1833-08-28,"M"
1444,1833-08-28,"M"
543,1833-08-29,"M"
1469,1833-08-29,"M"
851,1833-08-30,"M"
1444,1833-08-30,"M"
1236,1833-08-31,"M"
1469,1833-08-31,"M"
1444,1833-09-01,"M"
1128,1833-09-01,"M"
1444,1833-09-02,"M"
393,1833-09-02,"M"
543,1833-09-03,"M"
811,1833-09-03,"M"
1444,1833-09-04,"M"
1236,1833-09-04,"M"
1115,1833-09-05,"M"
1469,1833-09-05,"M"
851,1833-09-06,"M"
1444,1833-09-06,"M"
543,1833-09-07,"M"
1469,1833-09-07,"M"
1161,1833-09-08,"M"
1444,1833-09-08,"M"
1115,1833-09-09,"M"
1469,1833-09-09,"M"
1821,1833-09-10,"M"
1469,1833-09-10,"M"
851,1833-09-11,"M"
1444,1833-09-11,"M"
811,1833-09-12,"M"
393,1833-09-12,"M"
1821,1833-09-13,"M"
1444,1833-09-13,"M"
851,1833-09-14,"M"
1128,1833-09-14,"M"
393,1833-09-14,"M"
1856,1833-09-15,"M"
1444,1833-09-15,"M"
1844,1833-09-16,"M"
1469,1833-09-16,"M"
1479,1833-09-18,"M"
543,1833-09-19,"M"
1469,1833-09-19,"M"
1236,1833-09-20,"M"
